Timestamp,Open,High,Low,Close,Volume (Ticks)
2025-11-10 00:14:48,2500.03,2500.34,2499.84,2500.34,4
2025-11-10 00:15:48,2500.34,2500.34,2499.87,2499.87,4
2025-11-10 00:16:48,2499.87,2500.13,2499.82,2500.06,4
2025-11-10 00:17:48,2500.06,2500.54,2500.06,2500.2,4
2025-11-10 00:18:48,2500.2,2500.2,2499.43,2499.43,4
2025-11-10 00:19:48,2499.43,2499.67,2498.95,2499.67,4
2025-11-10 00:20:48,2499.67,2500.46,2499.67,2500.21,4
2025-11-10 00:21:48,2500.21,2500.21,2499.48,2499.48,4
2025-11-10 00:22:48,2499.48,2500.07,2499.48,2500.07,4
2025-11-10 00:23:48,2500.07,2500.61,2500.07,2500.41,4
2025-11-10 00:24:48,2500.41,2500.41,2499.73,2499.73,4
2025-11-10 00:25:48,2499.73,2499.85,2499.68,2499.68,4
2025-11-10 00:26:48,2499.68,2499.68,2499.21,2499.21,4
2025-11-10 00:27:48,2499.21,2499.21,2498.71,2498.83,4
2025-11-10 00:28:48,2498.83,2499.26,2498.83,2499.26,4
2025-11-10 00:29:48,2499.26,2499.57,2498.65,2498.65,4
2025-11-10 00:30:48,2498.65,2498.89,2498.22,2498.89,4
2025-11-10 00:31:48,2498.89,2498.99,2498.7,2498.7,4
2025-11-10 00:32:48,2498.7,2498.7,2498.34,2498.34,4
2025-11-10 00:33:48,2498.34,2498.43,2498.09,2498.17,4
2025-11-10 00:34:48,2498.17,2498.69,2498.07,2498.69,4
2025-11-10 00:35:48,2498.69,2498.92,2498.69,2498.92,4
2025-11-10 00:36:48,2498.92,2499.26,2498.91,2499.26,4
2025-11-10 00:37:48,2499.26,2499.62,2499.26,2499.41,4
2025-11-10 00:38:48,2499.41,2499.41,2498.5,2498.54,4
2025-11-10 00:39:48,2498.54,2498.63,2498.22,2498.63,4
2025-11-10 00:40:48,2498.63,2499.51,2498.63,2499.51,4
2025-11-10 00:41:48,2499.51,2500.21,2499.39,2500.21,4
2025-11-10 00:42:48,2500.21,2501.16,2500.21,2501.16,4
2025-11-10 00:43:48,2501.16,2501.41,2501.0,2501.12,4
2025-11-10 00:44:48,2501.12,2501.23,2500.78,2501.23,4
2025-11-10 00:45:48,2501.23,2501.23,2500.79,2501.1,4
2025-11-10 00:46:48,2501.1,2501.73,2501.1,2501.67,4
2025-11-10 00:47:48,2501.67,2501.67,2501.38,2501.38,4
2025-11-10 00:48:48,2501.38,2501.38,2500.89,2500.98,4
2025-11-10 00:49:48,2500.98,2501.39,2500.82,2500.82,4
2025-11-10 00:50:48,2500.82,2500.98,2500.43,2500.43,4
2025-11-10 00:51:48,2500.43,2500.85,2500.14,2500.85,4
2025-11-10 00:52:48,2500.85,2500.85,2500.12,2500.12,4
2025-11-10 00:53:48,2500.12,2500.9,2500.12,2500.52,4
2025-11-10 00:54:48,2500.52,2501.33,2500.52,2501.33,4
2025-11-10 00:55:48,2501.33,2501.33,2500.54,2501.04,4
2025-11-10 00:56:48,2501.04,2501.04,2500.73,2500.76,4
2025-11-10 00:57:48,2500.76,2501.52,2500.76,2501.03,4
2025-11-10 00:58:48,2501.03,2501.1,2500.62,2500.75,4
2025-11-10 00:59:48,2500.75,2501.22,2500.62,2500.62,4
2025-11-10 01:00:48,2500.62,2500.62,2500.41,2500.57,4
2025-11-10 01:01:48,2500.57,2500.64,2500.28,2500.28,4
2025-11-10 01:02:48,2500.28,2500.75,2500.27,2500.27,4
2025-11-10 01:03:48,2500.27,2500.71,2500.27,2500.59,4
2025-11-10 01:04:48,2500.59,2500.59,2499.79,2499.85,4
2025-11-10 01:05:48,2499.85,2500.14,2499.85,2499.88,4
2025-11-10 01:06:48,2499.88,2499.88,2499.59,2499.8,4
2025-11-10 01:07:48,2499.8,2499.97,2499.59,2499.73,4
2025-11-10 01:08:48,2499.73,2499.73,2499.22,2499.62,4
2025-11-10 01:09:48,2499.62,2499.93,2499.62,2499.63,4
2025-11-10 01:10:48,2499.63,2500.22,2499.63,2499.99,4
2025-11-10 01:11:48,2499.99,2500.33,2499.99,2500.12,4
2025-11-10 01:12:48,2500.12,2500.77,2500.12,2500.53,4
2025-11-10 01:13:48,2500.53,2501.13,2500.53,2500.92,4
2025-11-10 01:14:48,2500.92,2500.92,2500.67,2500.87,4
2025-11-10 01:15:48,2500.87,2500.87,2500.4,2500.56,4
2025-11-10 01:16:48,2500.56,2500.56,2499.98,2500.31,4
2025-11-10 01:17:48,2500.31,2500.62,2500.31,2500.6,4
2025-11-10 01:18:48,2500.6,2500.6,2499.87,2499.87,4
2025-11-10 01:19:48,2499.87,2500.1,2499.87,2499.93,4
2025-11-10 01:20:48,2499.93,2499.93,2499.61,2499.61,4
2025-11-10 01:21:48,2499.61,2499.86,2499.4,2499.71,4
2025-11-10 01:22:48,2499.71,2499.95,2499.55,2499.55,4
2025-11-10 01:23:48,2499.55,2499.72,2499.24,2499.33,4
2025-11-10 01:24:48,2499.33,2499.65,2499.33,2499.48,4
2025-11-10 01:25:48,2499.48,2499.89,2499.48,2499.67,4
2025-11-10 01:26:48,2499.67,2499.85,2499.53,2499.85,4
2025-11-10 01:27:48,2499.85,2500.3,2499.66,2499.66,4
2025-11-10 01:28:48,2499.66,2500.32,2499.66,2500.32,4
2025-11-10 01:29:48,2500.32,2500.56,2500.17,2500.56,4
2025-11-10 01:30:48,2500.56,2500.83,2500.26,2500.26,4
2025-11-10 01:31:48,2500.26,2500.26,2499.6,2499.88,4
2025-11-10 01:32:48,2499.88,2500.0,2499.54,2499.54,4
2025-11-10 01:33:48,2499.54,2500.01,2499.54,2500.01,4
2025-11-10 01:34:48,2500.01,2500.01,2499.3,2499.3,4
2025-11-10 01:35:48,2499.3,2499.3,2498.62,2498.77,4
2025-11-10 01:36:48,2498.77,2498.77,2497.95,2498.35,4
2025-11-10 01:37:48,2498.35,2498.35,2497.52,2497.52,4
2025-11-10 01:38:48,2497.52,2497.71,2497.45,2497.45,4
2025-11-10 01:39:48,2497.45,2497.45,2497.18,2497.18,4
2025-11-10 01:40:48,2497.18,2497.51,2497.18,2497.41,4
